Order ID,Customer ID,Sales Person,Order Date,Ship Date,Order Priority,SKU Code,Order Quantity,Unit Sell Price,Unit Cost Price,Discount Percent,Shipping Amount,Ship Mode,Container,Cost,Discount Amount,Discount Cost,Total Discounted Cost
13729,C508,Mr Robert Carlton,1/1/2017,1/3/2017,Not Specified,SKU947,9,95.99,1,8%,35,Express Air,Large Box,863.91,69.1128,794.7972,829.7972
28774,C372,Miss Roseanna Marr,1/1/2017,1/2/2017,High,SKU937,32,5.98,1,10%,4.69,Regular Air,Small Box,191.36,19.136,172.224,176.914
9285,C212,Mr Robert Carlton,1/2/2017,1/4/2017,Critical,SKU363,3,40.98,6,6%,2.99,Regular Air,Small Box,122.94,7.3764,115.5636,118.5536
37537,C015,Mr Robert Carlton,1/2/2017,1/2/2017,Low,SKU052,4,291.73,58,0%,48.8,Delivery Truck,Jumbo Drum,1166.92,0,1166.92,1215.72
37537,C015,Mr Robert Carlton,1/2/2017,1/4/2017,Low,SKU063,43,100.98,45,7%,45,Delivery Truck,Jumbo Drum,4342.14,303.9498,4038.1902,4083.1902
37537,C015,Mrs Gail Johnson,1/2/2017,1/9/2017,Low,SKU902,32,155.06,67,5%,7.07,Regular Air,Small Box,4961.92,248.096,4713.824,4720.894
44069,C256,Miss Roseanna Marr,1/2/2017,1/4/2017,Critical,SKU557,16,9.11,3,9%,2.15,Express Air,Wrap Bag,145.76,13.1184,132.6416,134.7916
44069,C256,Miss Roseanna Marr,1/2/2017,1/2/2017,Critical,SKU603,43,15.04,2,8%,1.97,Regular Air,Wrap Bag,646.72,51.7376,594.9824,596.9524
30016,C089,Miss Roseanna Marr,1/3/2017,1/5/2017,Critical,SKU731,15,5.28,1,3%,5.66,Regular Air,Small Box,79.2,2.376,76.824,82.484
30016,C089,Miss Roseanna Marr,1/3/2017,1/6/2017,Critical,SKU1244,8,110.99,11,1%,2.5,Regular Air,Small Box,887.92,8.8792,879.0408,881.5408
40354,C591,Mrs Gail Johnson,1/3/2017,1/4/2017,High,SKU352,29,5.58,1,3%,2.99,Regular Air,Small Box,161.82,4.8546,156.9654,159.9554
40354,C591,Miss Roseanna Marr,1/3/2017,1/4/2017,High,SKU235,4,212.6,49,9%,52.2,Delivery Truck,Jumbo Box,850.4,76.536,773.864,826.064
